contest	task	problem_url	editorial_url	reusable_parts	recipe	problem_specific_core	tool	current	missing	pitfalls	reviewer	reviewed_on	status	notes
abc212	g	https://atcoder.jp/contests/abc212/tasks/abc212_g	https://atcoder.jp/contests/abc212/editorial										pending	
abc212	h	https://atcoder.jp/contests/abc212/tasks/abc212_h	https://atcoder.jp/contests/abc212/editorial										pending	
abc213	g	https://atcoder.jp/contests/abc213/tasks/abc213_g	https://atcoder.jp/contests/abc213/editorial										pending	
abc213	h	https://atcoder.jp/contests/abc213/tasks/abc213_h	https://atcoder.jp/contests/abc213/editorial										pending	
abc214	g	https://atcoder.jp/contests/abc214/tasks/abc214_g	https://atcoder.jp/contests/abc214/editorial										pending	
abc214	h	https://atcoder.jp/contests/abc214/tasks/abc214_h	https://atcoder.jp/contests/abc214/editorial										pending	
abc215	g	https://atcoder.jp/contests/abc215/tasks/abc215_g	https://atcoder.jp/contests/abc215/editorial										pending	
abc215	h	https://atcoder.jp/contests/abc215/tasks/abc215_h	https://atcoder.jp/contests/abc215/editorial										pending	
abc216	g	https://atcoder.jp/contests/abc216/tasks/abc216_g	https://atcoder.jp/contests/abc216/editorial										pending	
abc216	h	https://atcoder.jp/contests/abc216/tasks/abc216_h	https://atcoder.jp/contests/abc216/editorial										pending	
abc217	g	https://atcoder.jp/contests/abc217/tasks/abc217_g	https://atcoder.jp/contests/abc217/editorial										pending	
abc217	h	https://atcoder.jp/contests/abc217/tasks/abc217_h	https://atcoder.jp/contests/abc217/editorial										pending	
abc218	g	https://atcoder.jp/contests/abc218/tasks/abc218_g	https://atcoder.jp/contests/abc218/editorial										pending	
abc218	h	https://atcoder.jp/contests/abc218/tasks/abc218_h	https://atcoder.jp/contests/abc218/editorial										pending	
abc219	g	https://atcoder.jp/contests/abc219/tasks/abc219_g	https://atcoder.jp/contests/abc219/editorial										pending	
abc219	h	https://atcoder.jp/contests/abc219/tasks/abc219_h	https://atcoder.jp/contests/abc219/editorial										pending	
abc220	g	https://atcoder.jp/contests/abc220/tasks/abc220_g	https://atcoder.jp/contests/abc220/editorial										pending	
abc220	h	https://atcoder.jp/contests/abc220/tasks/abc220_h	https://atcoder.jp/contests/abc220/editorial										pending	
abc221	g	https://atcoder.jp/contests/abc221/tasks/abc221_g	https://atcoder.jp/contests/abc221/editorial										pending	
abc221	h	https://atcoder.jp/contests/abc221/tasks/abc221_h	https://atcoder.jp/contests/abc221/editorial										pending	
abc222	g	https://atcoder.jp/contests/abc222/tasks/abc222_g	https://atcoder.jp/contests/abc222/editorial										pending	
abc222	h	https://atcoder.jp/contests/abc222/tasks/abc222_h	https://atcoder.jp/contests/abc222/editorial										pending	
abc223	g	https://atcoder.jp/contests/abc223/tasks/abc223_g	https://atcoder.jp/contests/abc223/editorial										pending	
abc223	h	https://atcoder.jp/contests/abc223/tasks/abc223_h	https://atcoder.jp/contests/abc223/editorial										pending	
abc224	g	https://atcoder.jp/contests/abc224/tasks/abc224_g	https://atcoder.jp/contests/abc224/editorial										pending	
abc224	h	https://atcoder.jp/contests/abc224/tasks/abc224_h	https://atcoder.jp/contests/abc224/editorial										pending	
abc225	g	https://atcoder.jp/contests/abc225/tasks/abc225_g	https://atcoder.jp/contests/abc225/editorial										pending	
abc225	h	https://atcoder.jp/contests/abc225/tasks/abc225_h	https://atcoder.jp/contests/abc225/editorial										pending	
abc226	g	https://atcoder.jp/contests/abc226/tasks/abc226_g	https://atcoder.jp/contests/abc226/editorial										pending	
abc226	h	https://atcoder.jp/contests/abc226/tasks/abc226_h	https://atcoder.jp/contests/abc226/editorial										pending	
abc227	g	https://atcoder.jp/contests/abc227/tasks/abc227_g	https://atcoder.jp/contests/abc227/editorial										pending	
abc227	h	https://atcoder.jp/contests/abc227/tasks/abc227_h	https://atcoder.jp/contests/abc227/editorial										pending	
abc228	g	https://atcoder.jp/contests/abc228/tasks/abc228_g	https://atcoder.jp/contests/abc228/editorial										pending	
abc228	h	https://atcoder.jp/contests/abc228/tasks/abc228_h	https://atcoder.jp/contests/abc228/editorial										pending	
abc229	g	https://atcoder.jp/contests/abc229/tasks/abc229_g	https://atcoder.jp/contests/abc229/editorial										pending	
abc229	h	https://atcoder.jp/contests/abc229/tasks/abc229_h	https://atcoder.jp/contests/abc229/editorial										pending	
abc230	g	https://atcoder.jp/contests/abc230/tasks/abc230_g	https://atcoder.jp/contests/abc230/editorial										pending	
abc230	h	https://atcoder.jp/contests/abc230/tasks/abc230_h	https://atcoder.jp/contests/abc230/editorial										pending	
